Timestamp,Increment,KalAngleX1,ManualX1,KalAngleY1,KalAngleZ1,KalAngleX2,ManualX2,KalAngleY2,KalAngleZ2
2024-08-12 04:56:31.351,0.0,0,0,0,0,0,0
2024-08-12 04:56:33.046,7.2,0,0,0,0,0,0
2024-08-12 04:56:33.050,14.4,0,0,0,0,0,0
2024-08-12 04:56:33.054,21.6,0.007942110043045231,-0.004130187988281251,0.006924050279757201,0.004877599769500456,0.001954322270179812,-0.0027933349609375003,0.0015937999156627322,-0.0004980838509186572
2024-08-12 04:56:33.062,28.8,0.009627240810426636,-0.0050672810872395835,0.008225599980777744,0.006058735659292692,0.00792888030302595,-0.004073364257812501,0.007620167917309588,0.005238129764029932
2024-08-12 04:56:33.070,36.0,0.010615008928756465,-0.005772094726562501,0.009247266250909951,0.007013158823408576,0.009469867229361125,-0.005038370768229167,0.009411478740724084,0.006979947686231332
2024-08-12 04:56:33.079,43.2,0.012431794993033722,-0.006290486653645835,0.011122130548327048,0.008806524919142977,0.010206828275907888,-0.005780069986979167,0.009903069030217782,0.00756873989197133
2024-08-12 04:56:33.088,50.4,0.012812807360942037,-0.006800903320312502,0.011277970828478734,0.009017603859698475,0.011935508659832898,-0.006322387695312502,0.011429346297049586,0.009019705663255745
2024-08-12 04:56:33.099,57.6,0.014135362959576014,-0.006956420898437502,0.012137882089632223,0.009837930391217175,0.012513067974266542,-0.006623453776041667,0.012226658226305833,0.009688215804926235
2024-08-12 04:56:33.107,64.8,0.015337503335188794,-0.007139851888020834,0.013746101291563395,0.011191538167322617,0.013711210015930914,-0.007053120930989585,0.013774959007196228,0.011192257040774261
2024-08-12 04:56:33.119,72.0,0.016245387062016958,-0.007390075683593752,0.014548083392151209,0.011953223585833816,0.014851863169353491,-0.007264465332031252,0.014474062377870635,0.011972264449176047
2024-08-12 04:56:33.131,79.2,0.017295282568636952,-0.007479797363281252,0.015266698027845305,0.012755121029686562,0.015890225580678832,-0.007287394205729167,0.015702228779641406,0.013046099122492286
2024-08-12 04:56:33.174,86.4,0.018620227203746634,-0.0075535685221354175,0.01652506649246681,0.01384372032622249,0.017113293895881985,-0.007454874674479167,0.017140749888101974,0.014303994222260018
2024-08-12 04:56:33.225,93.60000000000001,0.019918138406123515,-0.007574503580729168,0.017902071308352127,0.015055426196669757,0.018419074092418383,-0.0075435994466145845,0.018518091200268157,0.0156589395912914
2024-08-12 04:56:33.237,100.8,0.020654989803574476,-0.007678181966145834,0.018537827180723783,0.01567076699189178,0.01969126926190309,-0.007649271647135417,0.019605097167395377,0.016805140260577334
2024-08-12 04:56:33.251,108.0,0.021765099086543064,-0.007763916015625002,0.019514073668692178,0.016601478983674117,0.02042916616035063,-0.0002572021484375,0.05775119348006913,0.03566456890556678
2024-08-12 04:56:33.283,115.2,0.023023891182187495,-0.007752950032552084,0.02060469878872148,0.017617364439037296,-2.0310459181305847,0.032538065592447915,0.05058898468582158,2.5403609100985673
2024-08-12 04:56:33.298,122.4,0,0,0,0,0,0
2024-08-12 04:56:33.305,129.6,0,0,0,0,0,0
2024-08-12 04:56:33.309,136.8,0,0,0,0,0,0
2024-08-12 04:56:33.314,144.0,0,0,0,0,0,0
2024-08-12 04:56:33.319,151.20000000000002,0,0,0,0,0,0
2024-08-12 04:56:33.324,158.4,0,0,0,0,0,0
2024-08-12 04:56:33.328,165.6,0,0,0,0,0,0
2024-08-12 04:56:33.334,172.8,0,0,0,0,0,0
