Increment,az1,Az1_Angle,ax1,Ax1_Angle,KalAngleX1,az2,Az2_Angle,ax2,Ax2_Angle,KalAngleX2
0.0,0.0,0.0,-1.0,-9.969075520833334e-07,26.87759434070014,0.0,0.0,-167.0,-0.0001664835611979167,13.184111942464147
7.2,3445.0,0.0034343465169270836,0.0,0.0,27.81355110920604,-1.0,-9.969075520833334e-07,-167.0,-0.0001664835611979167,12.496614020097955
14.4,3445.0,0.0034343465169270836,-1.0,-9.969075520833334e-07,28.7531354425786,0.0,0.0,-167.0,-0.0001664835611979167,11.782586687123473
21.6,3445.0,0.0034343465169270836,-1.0,-9.969075520833334e-07,29.69555763012753,0.0,0.0,-168.0,-0.00016748046875,11.041748779429279
28.8,3445.0,0.0034343465169270836,0.0,0.0,30.640337460581964,0.0,0.0,-167.0,-0.0001664835611979167,10.274973907109912
36.0,3445.0,0.0034343465169270836,0.0,0.0,31.586699528257956,-1.0,-9.969075520833334e-07,-167.0,-0.0001664835611979167,9.481945987934889
43.2,3445.0,0.0034343465169270836,0.0,0.0,32.534104484025946,0.0,0.0,-168.0,-0.00016748046875,8.665981959554477
50.4,3445.0,0.0034343465169270836,-1.0,-9.969075520833334e-07,33.48194576509434,0.0,0.0,-166.0,-0.00016548665364583338,7.826774337785624
57.6,3445.0,0.0034343465169270836,0.0,0.0,34.429701628023984,-1.0,-9.969075520833334e-07,-167.0,-0.0001664835611979167,6.963981986099797
64.8,3445.0,0.0034343465169270836,0.0,0.0,35.376634667812255,0.0,0.0,-166.0,-0.00016548665364583338,6.081058178710863
72.0,3445.0,0.0034343465169270836,-1.0,-9.969075520833334e-07,36.32232128190013,0.0,0.0,-166.0,-0.00016548665364583338,5.177659724929053
79.2,3445.0,0.0034343465169270836,-1.0,-9.969075520833334e-07,37.266047272150104,-1.0,-9.969075520833334e-07,-167.0,-0.0001664835611979167,4.253411279323439
86.4,3445.0,0.0034343465169270836,0.0,0.0,38.20741341787306,0.0,0.0,-166.0,-0.00016548665364583338,3.3118787778213
93.60000000000001,3445.0,0.0034343465169270836,-1.0,-9.969075520833334e-07,39.14573115495874,0.0,0.0,-167.0,-0.0001664835611979167,2.352674417846157
100.8,3446.0,0.003435343424479167,0.0,0.0,40.080486008720584,0.0,0.0,-166.0,-0.00016548665364583338,1.376732918354703
108.0,3446.0,0.003435343424479167,0.0,0.0,41.011235450443,-1.0,-9.969075520833334e-07,-166.0,-0.00016548665364583338,0.3836132286977296
115.2,3446.0,0.003435343424479167,0.0,0.0,41.93748443005788,0.0,0.0,-166.0,-0.00016548665364583338,-0.622990985232257
122.4,3445.0,0.0034343465169270836,-1.0,-9.969075520833334e-07,42.858822281216085,0.0,0.0,-165.0,-0.00016448974609375004,-1.6435463480071908
129.6,3446.0,0.003435343424479167,-1.0,-9.969075520833334e-07,43.774719235611684,0.0,0.0,-165.0,-0.00016448974609375004,-2.6771348684300986
136.8,3446.0,0.003435343424479167,0.0,0.0,44.684645373005594,-1.0,-9.969075520833334e-07,-166.0,-0.00016548665364583338,-3.724278484653879
144.0,3446.0,0.003435343424479167,0.0,0.0,45.58824381127651,-1.0,-9.969075520833334e-07,-166.0,-0.00016548665364583338,-4.782638763346783
151.20000000000002,3446.0,0.003435343424479167,0.0,0.0,46.48517221129162,0.0,0.0,-166.0,-0.00016548665364583338,-5.849860544883525
158.4,3446.0,0.003435343424479167,-1.0,-9.969075520833334e-07,47.374953522010074,0.0,0.0,-165.0,-0.00016448974609375004,-6.926529391292011
165.6,3446.0,0.003435343424479167,0.0,0.0,48.25720354135302,-1.0,-9.969075520833334e-07,-165.0,-0.00016448974609375004,-8.013268925131172
172.8,3446.0,0.003435343424479167,0.0,0.0,49.13148002317169,-1.0,-9.969075520833334e-07,-166.0,-0.00016548665364583338,-9.107723288221816
