Timestamp,Increment,ax1,KalAngleX1,ManualX1,ay1,KalAngleY1,az1,KalAngleZ1,ax2,KalAngleX2,ManualX2,ay2,KalAngleY2,az2,KalAngleZ2
,,,,,,,,,,,,,,,
07:13.4,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,
07:14.2,7.2,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,
07:14.2,14.4,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,
07:14.2,21.6,-0.256103516,0.248760407,-0.004183024,-0.032653809,0.206121957,0.126281738,0.091268643,-0.245544434,0.247854425,-0.004010559,-0.056152344,0.215061805,0.095947266,0.098959297
,,,,,,,,,,,,,,,
07:14.2,28.8,-0.313659668,0.494069782,-0.005123108,-0.024719238,0.424382665,0.106140137,0.312067662,-0.30645752,0.486757579,-0.005005473,-0.065612793,0.468666579,0.05871582,0.326889257
,,,,,,,,,,,,,,,
07:14.2,36,-0.354125977,0.560596351,-0.005784058,-0.016662598,0.483726801,0.09185791,0.3600543,-0.353759766,0.538800582,-0.005778076,-0.070617676,0.513607132,0.001464844,0.381317329
,,,,,,,,,,,,,,,
07:14.2,43.2,-0.385375977,0.634142309,-0.006294474,-0.022155762,0.561493624,0.098876953,0.43277824,-0.386230469,0.613988434,-0.006308431,-0.078552246,0.578566889,-0.012939453,0.44600509
,,,,,,,,,,,,,,,
07:14.2,50.4,-0.414672852,0.721111605,-0.00677299,-0.02557373,0.634639214,0.049804688,0.501242205,-0.405517578,0.699028733,-0.006623454,-0.072143555,0.665340607,-0.041137695,0.534098708
,,,,,,,,,,,,,,,
07:14.2,57.6,-0.429199219,0.768184919,-0.007010254,-0.023132324,0.663153539,0.039672852,0.538910151,-0.428649902,0.746084436,-0.007001282,-0.083496094,0.728938421,-0.053833008,0.583590891
,,,,,,,,,,,,,,,
07:14.2,64.8,-0.438537598,0.836450698,-0.007162781,-0.024780273,0.737478956,0.06072998,0.595535217,-0.441833496,0.809991924,-0.007216614,-0.097106934,0.782375399,-0.075439453,0.644341434
,,,,,,,,,,,,,,,
07:14.2,72,-0.450439453,0.877567674,-0.007357178,-0.030883789,0.789216368,0.032958984,0.642163822,-0.452026367,0.855554311,-0.007383097,-0.094055176,0.81330097,-0.09552002,0.680245976
,,,,,,,,,,,,,,,
07:14.2,79.2,-0.459716797,0.966555507,-0.007508708,-0.06262207,0.847825022,-0.01574707,0.701251959,-0.453796387,0.967254255,-0.007412008,-0.103088379,0.947963065,-0.081298828,0.796252871
,,,,,,,,,,,,,,,
07:14.2,86.4,1.154296875,142.648618,0.018853516,-0.12890625,170.4411782,-1.113037109,162.1178423,-0.459350586,1.010649836,-0.007502726,-0.112609863,0.986182012,-0.09197998,0.83782809
,,,,,,,,,,,,,,,
07:14.2,93.6,1.914245605,-86.79847138,0.031266012,1.385192871,-45.2723677,-1.182373047,-24.04724472,-0.467529297,1.086960796,-0.007636312,-0.132629395,1.06295532,-0.087097168,0.916833064
,,,,,,,,,,,,,,,
07:14.3,100.8,1.196655273,-86.87567521,0.019545369,-0.231384277,-114.5285027,-0.045837402,-23.05052933,-0.467590332,1.15432679,-0.007637309,-0.130432129,1.132576653,-0.113647461,0.977897019
,,,,,,,,,,,,,,,
07:14.3,108,-0.467712402,-86.82670717,-0.007639303,1.880615234,-220.013798,1.83215332,-263.0645568,-0.469482422,1.190110762,-0.007668213,-0.141967773,1.172752283,-0.113525391,1.012425763
,,,,,,,,,,,,,,,
07:14.3,115.2,1.726257324,-86.83515495,0.028195536,0.726501465,13.55603097,1.953918457,-113.5080336,-0.471984863,1.268098942,-0.007709086,-0.152099609,1.249393556,-0.131225586,1.07921575
,,,,,,,,,,,,,,,
07:14.3,122.4,-1.990539551,-86.79495122,-0.032512146,0.77520752,-90.51192784,-0.95892334,-112.4680164,-0.47442627,1.324894387,-0.007748962,-0.164489746,1.314100336,-0.142578125,1.146968164
,,,,,,,,,,,,,,,
07:14.3,129.6,-1.243408203,-86.8636826,-0.020309001,-1.790588379,-31.60507893,0.826782227,28.34693658,-0.474731445,1.385422484,-0.007753947,-0.167602539,1.369232742,-0.15612793,1.188614286
,,,,,,,,,,,,,,,
07:14.3,136.8,0.126708984,-86.85699114,0.00206958,-1.53894043,-78.67064017,1.531738281,-221.4302784,-0.483154297,1.432812928,-0.00789152,-0.186706543,1.410235494,-0.187255859,1.227894825
,,,,,,,,,,,,,,,
07:14.3,144,-0.282226563,-86.84027417,-0.004609701,0.042053223,-134.4970737,0.477478027,-234.2445736,-0.478637695,1.385074752,-0.007817749,-0.1875,1.367202668,-0.181152344,1.193380072
,,,,,,,,,,,,,,,
07:14.3,151.2,-0.892272949,-86.89935306,-0.014573792,-0.231506348,-26.98419478,-1.703857422,-70.92563638,-0.479431152,1.451695665,-0.007830709,-0.177185059,1.442727565,-0.24407959,1.248090078
,,,,,,,,,,,,,,,
07:14.3,158.4,-0.712036133,-86.85998876,-0.011629924,-1.899658203,40.40078439,1.373596191,-25.04206692,-0.480895996,1.437350927,-0.007854635,-0.200317383,1.418383457,-0.19744873,1.238919425
,,,,,,,,,,,,,,,
07:14.3,165.6,-1.319396973,-86.80554208,-0.021550151,0.990722656,-43.69942799,-0.346252441,0.299316457,-0.477539063,1.397404294,-0.007799805,-0.19342041,1.386737423,-0.202941895,1.194760754
,,,,,,,,,,,,,,,
07:14.3,172.8,1.710021973,-86.80324901,0.027930359,1.081481934,-100.7567196,-0.530883789,-90.08575294,-0.477233887,1.434641454,-0.00779482,-0.187072754,1.421138583,-0.245727539,1.221032569
